1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136736 :: Finding Eyes
1386136736 :: Unknown exception
1386136736 :: Finding features
1386136736 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Unknown exception
1386136737 :: Finding features
1386136737 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Unknown exception
1386136737 :: Finding features
1386136737 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Finished finding features
1386136737 :: Finding features
1386136737 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Unknown exception
1386136737 :: Finding features
1386136737 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Unknown exception
1386136737 :: Finding features
1386136737 :: Finding faces
1386136737 :: Finding Eyes
1386136737 :: Unknown exception
1386136738 :: Finding features
1386136738 :: Finding faces
1386136738 :: Finding Eyes
1386136738 :: Unknown exception
1386136738 :: Finding features
1386136738 :: Finding faces
1386136738 :: Finding Eyes
1386136738 :: Unknown exception
1386136738 :: Finding features
1386136738 :: Finding faces
1386136738 :: Finding Eyes
1386136738 :: Finished finding features
1386136738 :: Finding features
1386136738 :: Finding faces
1386136738 :: Finding Eyes
1386136738 :: Finished finding features
1386136738 :: Finding features
1386136738 :: Finding faces
1386136738 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136739 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136739 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136739 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136739 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136739 :: Finding Eyes
1386136739 :: Unknown exception
1386136739 :: Finding features
1386136739 :: Finding faces
1386136740 :: Finding Eyes
1386136740 :: Unknown exception
1386136740 :: Finding features
1386136740 :: Finding faces
1386136740 :: Finding Eyes
1386136740 :: Finished finding features
1386136740 :: Finding features
1386136740 :: Finding faces
1386136740 :: Finding Eyes
1386136740 :: Unknown exception
1386136740 :: Finding features
1386136740 :: Finding faces
1386136740 :: Finding Eyes
1386136740 :: Unknown exception
1386136740 :: Finding features
1386136740 :: Finding faces
1386136740 :: Finding Eyes
1386136740 :: Unknown exception
1386136740 :: Finding features
1386136740 :: Finding faces
1386136740 :: Finding Eyes
1386136741 :: Unknown exception
1386136741 :: Finding features
1386136741 :: Finding faces
1386136741 :: Finding Eyes
1386136741 :: Unknown exception
1386136741 :: Finding features
1386136741 :: Finding faces
1386136741 :: Finding Eyes
1386136741 :: Unknown exception
1386136741 :: Finding features
1386136741 :: Finding faces
1386136741 :: Finding Eyes
1386136741 :: Unknown exception
1386136741 :: Finding features
1386136741 :: Finding faces
1386136741 :: Finding Eyes
1386136741 :: Unknown exception
1386136741 :: Finding features
1386136741 :: Finding faces
1386136741 :: Finding Eyes
1386136741 :: Unknown exception
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136742 :: Finished finding features
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136742 :: Unknown exception
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136742 :: Unknown exception
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136742 :: Unknown exception
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136742 :: Unknown exception
1386136742 :: Finding features
1386136742 :: Finding faces
1386136742 :: Finding Eyes
1386136743 :: Unknown exception
1386136743 :: Finding features
1386136743 :: Finding faces
1386136743 :: Finding Eyes
1386136743 :: Unknown exception
1386136743 :: Finding features
1386136743 :: Finding faces
1386136743 :: Finding Eyes
1386136743 :: Unknown exception
1386136743 :: Finding features
1386136743 :: Finding faces
1386136743 :: Finding Eyes
1386136743 :: Unknown exception
1386136743 :: Finding features
1386136743 :: Finding faces
1386136743 :: Finding Eyes
1386136743 :: Unknown exception
1386136743 :: Finding features
1386136743 :: Finding faces
1386136743 :: Finding Eyes
1386136743 :: Finished finding features
1386136744 :: Finding features
1386136744 :: Finding faces
1386136744 :: Finding Eyes
1386136744 :: Finished finding features
1386136744 :: Finding features
1386136744 :: Finding faces
1386136744 :: Finding Eyes
1386136744 :: Unknown exception
1386136744 :: Finding features
1386136744 :: Finding faces
1386136744 :: Finding Eyes
1386136744 :: Unknown exception
1386136744 :: Finding features
1386136744 :: Finding faces
1386136744 :: Finding Eyes
1386136744 :: Unknown exception
1386136744 :: Finding features
1386136744 :: Finding faces
1386136744 :: Finding Eyes
1386136744 :: Unknown exception
1386136745 :: Finding features
